user,key,keyEvent,Time
rakshith,13,Up,126960187
rakshith,104,Down,126961796
rakshith,104,Up,126961906
rakshith,101,Down,126962031
rakshith,101,Up,126962125
rakshith,108,Down,126962437
rakshith,108,Up,126962578
rakshith,111,Down,126962875
rakshith,111,Up,126962937
rakshith,111,Down,126963015
rakshith,111,Up,126963093
rakshith,32,Down,126968531
rakshith,32,Up,126968625
rakshith,109,Down,126968750
rakshith,109,Up,126968828
rakshith,121,Down,126969046
rakshith,121,Up,126969125
rakshith,32,Down,126969453
rakshith,32,Up,126969578
rakshith,27,Down,126972218
urvi,13,Up,130103843
urvi,0,Down,130105703
urvi,0,Up,130105796
urvi,65,Down,130106281
urvi,65,Up,130106359
urvi,65,Down,130107125
urvi,65,Up,130107218
urvi,0,Down,130107796
urvi,0,Up,130107890
urvi,97,Down,130108500
urvi,97,Up,130108625
urvi,97,Down,130109140
urvi,97,Up,130109250
urvi,49,Down,130110093
urvi,49,Up,130110203
urvi,50,Down,130110468
urvi,50,Up,130110562
urvi,51,Down,130110859
urvi,51,Up,130110968
urvi,27,Down,130112296
aditya,13,Up,130298625
aditya,104,Down,130300312
aditya,104,Up,130300390
aditya,101,Down,130300500
aditya,101,Up,130300609
aditya,108,Down,130300718
aditya,108,Up,130300828
aditya,108,Down,130300859
aditya,108,Up,130300984
aditya,111,Down,130301484
aditya,111,Up,130301609
aditya,32,Down,130306890
aditya,32,Up,130307000
aditya,109,Down,130308046
aditya,109,Up,130308156
aditya,121,Down,130308421
aditya,121,Up,130308500
aditya,110,Down,130312078
aditya,110,Up,130312187
aditya,97,Down,130312265
aditya,97,Up,130312375
aditya,109,Down,130312406
aditya,109,Up,130312500
aditya,101,Down,130312609
aditya,101,Up,130312734
aditya,32,Down,130316484
aditya,32,Up,130316578
aditya,105,Down,130316656
aditya,105,Up,130316718
aditya,115,Down,130316750
aditya,115,Up,130316843
aditya,32,Down,130317015
aditya,32,Up,130317093
aditya,97,Down,130317390
aditya,97,Up,130317531
aditya,100,Down,130317625
aditya,100,Up,130317703
aditya,105,Down,130317718
aditya,105,Up,130317812
aditya,116,Down,130318015
aditya,116,Up,130318093
aditya,121,Down,130318187
aditya,121,Up,130318250
aditya,97,Down,130318312
aditya,97,Up,130318437
aditya,27,Down,130322546
aditya,13,Up,130345484
aditya,0,Down,130347484
aditya,0,Up,130347562
aditya,65,Down,130348640
aditya,65,Up,130348750
aditya,0,Down,130350406
aditya,0,Up,130350500
aditya,32,Down,130350937
aditya,32,Up,130351062
aditya,99,Down,130355187
aditya,99,Up,130355296
aditya,111,Down,130355828
aditya,111,Up,130355953
aditya,119,Down,130356062
aditya,119,Up,130356203
aditya,32,Down,130357515
aditya,32,Up,130357609
aditya,119,Down,130357703
aditya,119,Up,130357812
aditya,97,Down,130358015
aditya,97,Up,130358187
aditya,115,Down,130358562
aditya,115,Up,130358687
aditya,32,Down,130362609
aditya,32,Up,130362687
aditya,100,Down,130364093
aditya,100,Up,130364187
aditya,111,Down,130364234
aditya,111,Up,130364343
aditya,105,Down,130364484
aditya,105,Up,130364593
aditya,110,Down,130364703
aditya,110,Up,130364812
aditya,103,Down,130364921
aditya,103,Up,130365000
aditya,32,Down,130365140
aditya,32,Up,130365250
aditya,115,Down,130365625
aditya,115,Up,130365703
aditya,104,Down,130365750
aditya,104,Up,130365843
aditya,105,Down,130365921
aditya,105,Up,130366031
aditya,116,Down,130366140
aditya,116,Up,130366234
aditya,27,Down,130367921
aditya,13,Up,130437437
aditya,57,Down,130439750
aditya,57,Up,130439890
aditya,56,Down,130440234
aditya,56,Up,130440343
aditya,57,Down,130440468
aditya,57,Up,130440593
aditya,56,Down,130440781
aditya,56,Up,130440890
aditya,49,Down,130441406
aditya,49,Up,130441515
aditya,50,Down,130441703
aditya,50,Up,130441796
aditya,51,Down,130442015
aditya,51,Up,130442093
aditya,52,Down,130442328
aditya,52,Up,130442421
aditya,53,Down,130442625
aditya,53,Up,130442734
aditya,54,Down,130443046
aditya,54,Up,130443171
aditya,27,Down,130443750
aditya,13,Up,130463562
aditya,0,Down,130464703
aditya,0,Up,130464765
aditya,65,Down,130464953
aditya,65,Up,130465015
aditya,0,Down,130466500
aditya,0,Up,130466625
aditya,65,Down,130467343
aditya,65,Up,130467406
aditya,65,Down,130467625
aditya,65,Up,130467718
aditya,49,Down,130472484
aditya,49,Up,130472593
aditya,50,Down,130472734
aditya,50,Up,130472828
aditya,51,Down,130473000
aditya,51,Up,130473078
aditya,52,Down,130473281
aditya,52,Up,130473359
aditya,53,Down,130473562
aditya,53,Up,130473640
aditya,54,Down,130473843
aditya,54,Up,130473921
aditya,27,Down,130474953
rakshith,13,Up,139983875
rakshith,72,Down,139984843
rakshith,72,Up,139984937
rakshith,69,Down,139985031
rakshith,69,Up,139985093
rakshith,89,Down,139985187
rakshith,89,Up,139985265
rakshith,32,Down,139985640
rakshith,32,Up,139985734
rakshith,72,Down,139986296
rakshith,72,Up,139986375
rakshith,79,Down,139986453
rakshith,79,Up,139986546
rakshith,87,Down,139986609
rakshith,87,Up,139986703
rakshith,32,Down,139986781
rakshith,32,Up,139986875
rakshith,82,Down,139986968
rakshith,82,Up,139987046
rakshith,32,Down,139987093
rakshith,32,Up,139987171
rakshith,85,Down,139987343
rakshith,85,Up,139987437
rakshith,32,Down,139987703
rakshith,32,Up,139987796
rakshith,27,Down,139988718
rakshith,13,Up,140005828
rakshith,49,Down,140008640
rakshith,49,Up,140008765
rakshith,50,Down,140008937
rakshith,50,Up,140009046
rakshith,51,Down,140009250
rakshith,51,Up,140009359
rakshith,52,Down,140009593
rakshith,52,Up,140009687
rakshith,53,Down,140010031
rakshith,53,Up,140010109
rakshith,54,Down,140010515
rakshith,54,Up,140010593
rakshith,32,Down,140011843
rakshith,32,Up,140011937
rakshith,72,Down,140012093
rakshith,72,Up,140012187
rakshith,69,Down,140012281
rakshith,69,Up,140012359
rakshith,76,Down,140012468
rakshith,76,Up,140012531
rakshith,76,Down,140012640
rakshith,76,Up,140012703
rakshith,79,Down,140012859
rakshith,79,Up,140012921
rakshith,32,Down,140014031
rakshith,32,Up,140014125
rakshith,0,Down,140014453
rakshith,0,Up,140014578
rakshith,65,Down,140014781
rakshith,65,Up,140014875
rakshith,65,Down,140015046
rakshith,65,Up,140015125
rakshith,65,Down,140015250
rakshith,65,Up,140015343
rakshith,27,Down,140016046
rakshith,13,Up,140031718
rakshith,65,Down,140032265
rakshith,65,Up,140032390
rakshith,0,Down,140036593
rakshith,0,Up,140036671
rakshith,65,Down,140036890
rakshith,65,Up,140036968
rakshith,0,Down,140044031
rakshith,0,Up,140044187
rakshith,65,Down,140044578
rakshith,65,Up,140044671
rakshith,126,Down,140049812
rakshith,126,Up,140050031
rakshith,27,Down,140050750
rakshith,13,Up,140117125
rakshith,65,Down,140118375
rakshith,65,Up,140118453
rakshith,0,Down,140123171
rakshith,0,Up,140123281
rakshith,65,Down,140123437
rakshith,65,Up,140123531
rakshith,0,Down,140127343
rakshith,0,Up,140127437
rakshith,49,Down,140127890
rakshith,49,Up,140127984
rakshith,50,Down,140128140
rakshith,50,Up,140128218
rakshith,51,Down,140128406
rakshith,51,Up,140128500
rakshith,52,Down,140128687
rakshith,52,Up,140128781
rakshith,27,Down,140129828
rakshith,13,Up,140167234
rakshith,65,Down,140168093
rakshith,65,Up,140168171
rakshith,0,Down,140171093
rakshith,0,Up,140171218
rakshith,65,Down,140171406
rakshith,65,Up,140171468
rakshith,0,Down,140174875
rakshith,0,Up,140174984
rakshith,49,Down,140175593
rakshith,49,Up,140175703
rakshith,50,Down,140175859
rakshith,50,Up,140175953
rakshith,51,Down,140176093
rakshith,51,Up,140176187
rakshith,27,Down,140177140
rakshith,13,Up,140226796
rakshith,0,Down,140229171
rakshith,0,Up,140229312
rakshith,65,Down,140229531
rakshith,65,Up,140229640
rakshith,0,Down,140230703
rakshith,0,Up,140230828
rakshith,65,Down,140230953
rakshith,65,Up,140231062
rakshith,71,Down,140233234
rakshith,71,Up,140233343
rakshith,74,Down,140233734
rakshith,69,Down,140233859
rakshith,74,Up,140233937
rakshith,84,Down,140233953
rakshith,74,Down,140234078
rakshith,84,Up,140234093
rakshith,74,Up,140234187
rakshith,69,Up,140234218
rakshith,71,Down,140234234
rakshith,70,Down,140234250
rakshith,70,Up,140234312
rakshith,71,Up,140234343
rakshith,27,Down,140234812
urvi,13,Up,140255828
urvi,65,Down,140256515
urvi,65,Up,140256609
urvi,27,Down,140274765
urvi,13,Up,140306656
urvi,65,Down,140307984
urvi,65,Up,140308046
urvi,0,Down,140310843
urvi,0,Up,140310968
urvi,0,Down,140312968
urvi,0,Up,140313125
urvi,81,Down,140313625
urvi,81,Up,140313703
urvi,27,Down,140321140
rakshith,13,Up,140360921
rakshith,80,Down,140363046
rakshith,80,Up,140363125
rakshith,79,Down,140363312
rakshith,79,Up,140363406
rakshith,78,Down,140363906
rakshith,78,Up,140364031
rakshith,87,Down,140364390
rakshith,87,Up,140364531
rakshith,74,Down,140365000
rakshith,74,Up,140365140
rakshith,88,Down,140365203
rakshith,88,Up,140365359
rakshith,78,Down,140365421
rakshith,67,Down,140365578
rakshith,78,Up,140365593
rakshith,67,Up,140365765
rakshith,74,Down,140365953
rakshith,74,Up,140366015
rakshith,69,Down,140366046
rakshith,69,Up,140366171
rakshith,66,Down,140366265
rakshith,66,Up,140366390
rakshith,79,Down,140366687
rakshith,87,Down,140366703
rakshith,87,Up,140366875
rakshith,79,Up,140366875
rakshith,78,Down,140367046
rakshith,78,Up,140367140
rakshith,67,Down,140367171
rakshith,67,Up,140367250
rakshith,50,Down,140367781
rakshith,50,Up,140367937
rakshith,57,Down,140368000
rakshith,57,Up,140368125
rakshith,50,Down,140368328
rakshith,51,Down,140368390
rakshith,50,Up,140368468
rakshith,51,Up,140368484
rakshith,55,Down,140368515
rakshith,56,Down,140368546
rakshith,56,Up,140368671
rakshith,55,Up,140368671
rakshith,51,Down,140368718
rakshith,50,Down,140368734
rakshith,52,Down,140368796
rakshith,50,Up,140368843
rakshith,51,Up,140368875
rakshith,56,Down,140368921
rakshith,52,Up,140368937
rakshith,56,Up,140369062
rakshith,50,Down,140369109
rakshith,51,Down,140369140
rakshith,57,Down,140369265
rakshith,52,Down,140369281
rakshith,50,Up,140369281
rakshith,48,Down,140369281
rakshith,51,Up,140369296
rakshith,48,Up,140369390
rakshith,52,Up,140369406
rakshith,57,Up,140369406
rakshith,51,Down,140369468
rakshith,50,Down,140369468
rakshith,57,Down,140369546
rakshith,50,Up,140369546
rakshith,51,Up,140369609
rakshith,57,Up,140369625
rakshith,49,Down,140369843
rakshith,50,Down,140369984
rakshith,49,Up,140370062
rakshith,57,Down,140370078
rakshith,50,Up,140370109
rakshith,51,Down,140370109
rakshith,51,Up,140370234
rakshith,57,Up,140370234
rakshith,49,Down,140370250
rakshith,50,Down,140370296
rakshith,57,Down,140370328
rakshith,49,Up,140370375
rakshith,57,Up,140370375
rakshith,50,Up,140370406
rakshith,49,Down,140370765
rakshith,49,Up,140370921
rakshith,48,Down,140371125
rakshith,48,Up,140371296
rakshith,49,Down,140371406
rakshith,50,Down,140371484
rakshith,49,Up,140371546
rakshith,56,Down,140371609
rakshith,50,Up,140371640
rakshith,51,Down,140371640
rakshith,56,Up,140371703
rakshith,51,Up,140371750
rakshith,85,Down,140371750
rakshith,50,Down,140371812
rakshith,85,Up,140371859
rakshith,48,Down,140371859
rakshith,57,Down,140371875
rakshith,57,Up,140371875
rakshith,48,Up,140371906
rakshith,50,Up,140371921
rakshith,0,Down,140372484
rakshith,0,Up,140372562
rakshith,74,Down,140372906
rakshith,72,Down,140373015
rakshith,74,Up,140373031
rakshith,72,Up,140373062
rakshith,70,Down,140373109
rakshith,83,Down,140373140
rakshith,83,Up,140373171
rakshith,70,Up,140373281
rakshith,74,Down,140373296
rakshith,65,Down,140373328
rakshith,74,Up,140373359
rakshith,83,Down,140373375
rakshith,66,Down,140373390
rakshith,66,Up,140373453
rakshith,65,Up,140373484
rakshith,70,Down,140373484
rakshith,83,Up,140373531
rakshith,66,Down,140373546
rakshith,65,Down,140373609
rakshith,70,Up,140373625
rakshith,66,Up,140373656
rakshith,72,Down,140373656
rakshith,83,Down,140373671
rakshith,66,Down,140373703
rakshith,68,Down,140373703
rakshith,72,Up,140373718
rakshith,65,Up,140373781
rakshith,83,Up,140373781
rakshith,68,Up,140373796
rakshith,66,Up,140373812
rakshith,70,Down,140373812
rakshith,65,Down,140373906
rakshith,68,Down,140373906
rakshith,70,Up,140373906
rakshith,83,Down,140373906
rakshith,66,Down,140373921
rakshith,75,Down,140373921
rakshith,65,Up,140373937
rakshith,75,Up,140373953
rakshith,66,Up,140373953
rakshith,83,Up,140373984
rakshith,68,Up,140373984
rakshith,0,Down,140374250
rakshith,0,Up,140374359
rakshith,68,Down,140374625
rakshith,74,Down,140374671
rakshith,68,Up,140374703
rakshith,87,Down,140374750
rakshith,74,Up,140374750
rakshith,66,Down,140374781
rakshith,87,Up,140374843
rakshith,72,Down,140374859
rakshith,68,Down,140374859
rakshith,66,Up,140374859
rakshith,68,Up,140374875
rakshith,70,Down,140374875
rakshith,70,Up,140374921
rakshith,72,Up,140374937
rakshith,68,Down,140375015
rakshith,70,Down,140375031
rakshith,72,Down,140375031
rakshith,68,Up,140375078
rakshith,70,Up,140375078
rakshith,72,Up,140375093
rakshith,72,Down,140375171
rakshith,74,Down,140375203
rakshith,65,Down,140375250
rakshith,68,Down,140375250
rakshith,83,Down,140375250
rakshith,74,Up,140375250
rakshith,72,Up,140375265
rakshith,65,Up,140375281
rakshith,70,Down,140375312
rakshith,83,Up,140375328
rakshith,70,Up,140375359
rakshith,68,Up,140375375
rakshith,27,Down,140375921
aditya,13,Up,140446343
aditya,72,Down,140448437
aditya,72,Up,140448546
aditya,69,Down,140448718
aditya,69,Up,140448812
aditya,89,Down,140449140
aditya,89,Up,140449250
aditya,32,Down,140449531
aditya,32,Up,140449625
aditya,65,Down,140449718
aditya,65,Up,140449812
aditya,76,Down,140449843
aditya,76,Up,140449906
aditya,76,Down,140450000
aditya,76,Up,140450046
aditya,32,Down,140450265
aditya,32,Up,140450343
aditya,73,Down,140450890
aditya,73,Up,140450984
aditya,32,Down,140451109
aditya,32,Up,140451203
aditya,65,Down,140451250
aditya,65,Up,140451359
aditya,77,Down,140451390
aditya,77,Up,140451484
aditya,32,Down,140451593
aditya,32,Up,140451656
aditya,65,Down,140451734
aditya,65,Up,140451875
aditya,68,Down,140451968
aditya,68,Up,140452031
aditya,73,Down,140452078
aditya,73,Up,140452171
aditya,32,Down,140452718
aditya,32,Up,140452843
aditya,77,Down,140455453
aditya,77,Up,140455562
aditya,69,Down,140455671
aditya,69,Up,140455734
aditya,69,Down,140455828
aditya,69,Up,140455890
aditya,84,Down,140455906
aditya,84,Up,140455984
aditya,32,Down,140456125
aditya,32,Up,140456187
aditya,77,Down,140456421
aditya,77,Up,140456484
aditya,69,Down,140456578
aditya,69,Up,140456656
aditya,32,Down,140456796
aditya,32,Up,140456890
aditya,65,Down,140457328
aditya,65,Up,140457468
aditya,84,Down,140457531
aditya,84,Up,140457640
aditya,32,Down,140458234
aditya,32,Up,140458359
aditya,67,Down,140460484
aditya,67,Up,140460562
aditya,72,Down,140460578
aditya,72,Up,140460656
aditya,73,Down,140460718
aditya,67,Down,140460812
aditya,73,Up,140460812
aditya,67,Up,140460921
aditya,65,Down,140460937
aditya,71,Down,140461015
aditya,65,Up,140461046
aditya,71,Up,140461093
aditya,79,Down,140461234
aditya,79,Up,140461328
aditya,27,Down,140462656
rakshith,13,Up,140558562
rakshith,72,Down,140560062
rakshith,72,Up,140560171
rakshith,69,Down,140560265
rakshith,69,Up,140560328
rakshith,76,Down,140560406
rakshith,76,Up,140560484
rakshith,76,Down,140560562
rakshith,76,Up,140560625
rakshith,79,Down,140560765
rakshith,79,Up,140560828
rakshith,32,Down,140561078
rakshith,32,Up,140561156
rakshith,73,Down,140561359
rakshith,73,Up,140561437
rakshith,32,Down,140561578
rakshith,32,Up,140561656
rakshith,65,Down,140561750
rakshith,65,Up,140561843
rakshith,77,Down,140561921
rakshith,77,Up,140562000
rakshith,32,Down,140562171
rakshith,32,Up,140562250
rakshith,82,Down,140562546
rakshith,82,Up,140562640
rakshith,65,Down,140562781
rakshith,65,Up,140562890
rakshith,75,Down,140562906
rakshith,75,Up,140563000
rakshith,83,Down,140563171
rakshith,83,Up,140563250
rakshith,72,Down,140563312
rakshith,72,Up,140563406
rakshith,73,Down,140563468
rakshith,73,Up,140563578
rakshith,84,Down,140563640
rakshith,84,Up,140563703
rakshith,72,Down,140563781
rakshith,72,Up,140563875
rakshith,32,Down,140564062
rakshith,32,Up,140564140
rakshith,67,Down,140564640
rakshith,67,Up,140564718
rakshith,72,Down,140564750
rakshith,72,Up,140564828
rakshith,85,Down,140564890
rakshith,85,Up,140564968
rakshith,82,Down,140565093
rakshith,82,Up,140565171
rakshith,67,Down,140565359
rakshith,72,Down,140565453
rakshith,67,Up,140565468
rakshith,72,Up,140565546
rakshith,65,Down,140565609
rakshith,65,Up,140565703
rakshith,85,Down,140565906
rakshith,85,Up,140566015
rakshith,78,Down,140566140
rakshith,78,Up,140566218
rakshith,68,Down,140566265
rakshith,68,Up,140566359
rakshith,73,Down,140566437
rakshith,73,Up,140566515
rakshith,32,Down,140566671
rakshith,32,Up,140566734
rakshith,65,Down,140566859
rakshith,65,Up,140566953
rakshith,77,Down,140566953
rakshith,77,Up,140567031
rakshith,65,Down,140567109
rakshith,65,Up,140567218
rakshith,82,Down,140567500
rakshith,82,Up,140567625
rakshith,78,Down,140567843
rakshith,78,Up,140567968
rakshith,65,Down,140567984
rakshith,65,Up,140568062
rakshith,84,Down,140568218
rakshith,84,Up,140568296
rakshith,72,Down,140568406
rakshith,72,Up,140568484
rakshith,44,Down,140570187
rakshith,44,Up,140570265
rakshith,32,Down,140570390
rakshith,32,Up,140570453
rakshith,80,Down,140570593
rakshith,80,Up,140570687
rakshith,76,Down,140570750
rakshith,76,Up,140570828
rakshith,69,Down,140570875
rakshith,69,Up,140570968
rakshith,65,Down,140571125
rakshith,65,Up,140571296
rakshith,83,Down,140571328
rakshith,83,Up,140571390
rakshith,69,Down,140571531
rakshith,69,Up,140571609
rakshith,32,Down,140571703
rakshith,32,Up,140571765
rakshith,84,Down,140571843
rakshith,84,Up,140571921
rakshith,73,Down,140572531
